f1;f2;f3;f4;f5;f6;y
29.32566225748565;48.56964528258709;51.71748582448372;21.405575939090557;22.09437296394094;81.04314808196936;6993.274042976147
33.76195707070089;28.849154185246643;52.06440241099667;19.588474114733945;58.69715202430588;85.82635948169755;7101.283621795971
17.016108144757716;42.485106307966916;74.37324187460459;20.05971063088022;8.9373050132643;91.3893500193623;8083.008303819088
31.73126779620752;56.872182020097526;46.12716393862468;17.787707972527524;23.337854697759393;77.85843173483221;6361.838625668863
21.446336565717253;18.56684977208745;70.66844986732139;7.810872588406406;42.83959962834843;92.11478643303863;7327.061549760081
15.455210108739198;37.19314508134141;39.8605084011538;8.413602723507433;49.4995514150554;55.315718509893;4472.2610806856255
14.340512134561422;54.50295346535974;50.21339450805243;25.66694166273335;44.72692960736675;64.55390664261385;6635.361251562683
15.666596952446918;31.169818817420484;64.12593053220715;6.0760962133860605;44.72775404971938;79.79252748465407;6386.481384501973
34.63995584721392;40.85849502584143;35.265879539100894;7.312114766612207;32.415334776716264;69.9058353863148;5055.84041401536
42.01837489722327;35.93172480620928;46.15078472169877;13.053471482079557;36.54982073619069;88.16915961892204;6619.810288047177
26.16592870542652;31.161144270720875;43.01642383004951;10.290214838216452;43.09858490609025;69.18235253547603;5564.823795853752
22.299850530580535;58.05504622702877;67.82781426403349;-6.857564639533205;21.087320627137764;90.12766479461402;6193.181489954304
36.14271708966362;45.119316688784075;33.453386726212415;3.3257292538870757;35.96936927676174;69.59610381587603;4572.756858020193
29.14591256090817;33.23695050709362;35.63114428971747;9.916971442335388;30.389635911543206;64.77705685062564;4877.32796994896
22.643341915084058;54.96690410844572;40.66905091493847;17.725053200826643;25.32948026822538;63.312392830022524;5491.652533734912
25.56341969119817;30.047182365454496;49.43210185083733;16.09641894563615;32.575951462349714;74.9955215420355;6450.921726347577
22.90675428316651;47.51543977219363;56.7302033513723;19.86152946539388;20.35610223644114;79.63695763453882;7157.361330766895
16.60503700794188;40.83670882078446;33.46236105961329;14.383885378753032;50.797775878369194;50.067398067555175;4540.791518224406
22.661080907410703;55.59078482786349;60.266890806286526;18.706331819852025;37.29969915724235;82.92797171369723;7297.170184911463
29.29315875550189;53.695754628255244;46.12178992183369;3.660106621578585;22.49819013160975;75.41494867733557;5421.684947904172
33.96967203360477;54.45821667456;67.25659182241799;19.568642083061647;32.00017186656412;101.22626385602277;8502.990734977291
23.84407313519805;46.65684974481488;54.509211141859296;11.533968894546561;23.53115648480314;78.35328427705736;6210.926955722034
28.123134822499388;23.623274193281873;58.51166651569378;13.616744044388833;32.68636331758919;86.63480133819317;6950.23763303154
34.12407796763278;39.62643670114762;43.34311405441588;-2.3974500019463587;35.35244698968984;77.46719202204866;4979.991712147716
22.4365585724904;50.24856822291495;46.710711255258786;19.438822633832835;42.69305722530699;69.14726982774918;6233.90680029931
31.882491364101263;45.49391802592662;61.012080135481646;8.512866662204232;20.566281020725995;92.89457149958291;6891.467521133972
19.7995998737218;48.62846138602727;61.28366859102754;7.864411911391273;14.928363388121106;81.08326846474934;6469.992145442154
36.73424065439424;43.061088775589766;47.518248928005924;-1.1036586655506664;37.6957767701209;84.25248958240016;5454.62793629895
28.017454238339123;21.36337201040734;44.268622758303735;7.789490817603928;13.413709098761899;72.28607699664286;5384.290512760876
31.155722545256427;59.71122928587997;55.29847621805891;33.83898148469774;13.24293899658187;86.45419876331533;8108.154727767494
39.35471740240961;33.18151189366322;50.62842543744557;3.2691885919846158;35.2685078851303;89.98314283985519;6046.216477862184
27.64883021854255;54.992220446198544;60.149097946326386;14.582432886224863;39.01075861142372;87.79792816486894;7262.760752590722
13.762249386573632;48.99014489412802;49.8595613752336;16.276592321466307;22.840933076074265;63.62181076180724;5798.380341508953
